Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,60
8994906.954197869,168
10478000.90109017,3
11961094.84798247,0
13444188.794874769,0
14927282.74176707,3
16410376.68865937,83
17893470.63555167,132
19376564.582443967,131
20859658.52933627,116
22342752.47622857,96
23825846.423120867,103
25308940.37001317,87
26792034.31690547,89
28275128.263797767,83
29758222.21069007,105
31241316.15758237,103
32724410.10447467,85
34207504.05136697,88
35690597.99825927,96
37173691.94515157,83
38656785.892043866,69
40139879.838936165,84
41622973.78582847,104
43106067.73272077,94
44589161.67961307,89
46072255.62650537,86
47555349.573397666,88
49038443.520289965,88
50521537.467182264,84
52004631.41407457,74
53487725.36096687,80
54970819.30785917,70
56453913.254751466,82
57937007.201643765,64
59420101.148536064,83
60903195.09542837,92
62386289.04232067,83
63869382.98921297,83
65352476.936105266,83
66835570.88299757,85
68318664.82988986,73
69801758.77678217,60
71284852.72367446,94
72767946.67056677,80
74251040.61745906,100
75734134.56435136,99
77217228.51124367,95
78700322.45813596,98
80183416.40502827,82
81666510.35192056,74
83149604.29881287,109
84632698.24570517,95
86115792.19259746,103
87598886.13948977,99
89081980.08638206,88
90565074.03327437,90
92048167.98016666,97
93531261.92705896,95
95014355.87395127,90
96497449.82084356,94
97980543.76773587,100
99463637.71462816,112
100946731.66152047,101
102429825.60841276,113
103912919.55530506,109
105396013.50219737,107
106879107.44908966,94
108362201.39598197,97
109845295.34287426,87
111328389.28976656,102
112811483.23665887,115
114294577.18355116,112
115777671.13044347,108
117260765.07733576,137
118743859.02422807,138
120226952.97112036,125
121710046.91801266,130
123193140.86490497,124
124676234.81179726,121
126159328.75868957,143
127642422.70558186,138
129125516.65247416,133
130608610.59936646,115
132091704.54625876,114
133574798.49315105,110
135057892.4400434,128
136540986.38693565,137
138024080.33382797,135
139507174.28072023,130
140990268.22761256,146
142473362.17450488,117
143956456.12139714,128
145439550.06828946,121
146922644.01518178,115
148405737.96207404,106
149888831.90896636,124
151371925.85585868,120
152855019.80275095,117
154338113.74964327,121
155821207.6965356,120
157304301.64342785,115
158787395.59032017,112
160270489.5372125,119
161753583.48410475,113
163236677.43099707,124
164719771.37788934,106
166202865.32478166,111
167685959.27167398,121
169169053.21856624,113
170652147.16545856,110
172135241.11235088,97
173618335.05924314,117
175101429.00613546,95
176584522.95302778,117
178067616.89992005,95
179550710.84681237,107
181033804.7937047,97
182516898.74059695,104
183999992.68748927,110
185483086.63438153,95
186966180.58127385,88
188449274.52816617,101
189932368.47505844,88
191415462.42195076,75
192898556.36884308,87
194381650.31573534,110
195864744.26262766,90
197347838.20951998,98
198830932.15641224,111
200314026.10330456,74
201797120.0501969,89
203280213.99708915,109
204763307.94398147,95
206246401.89087373,85
207729495.83776605,79
209212589.78465837,97
210695683.73155063,92
212178777.67844296,82
213661871.62533528,84
215144965.57222754,81
216628059.51911986,86
218111153.46601218,84
219594247.41290444,91
221077341.35979676,78
222560435.30668908,79
224043529.25358135,75
225526623.20047367,67
227009717.147366,83
228492811.09425825,71
229975905.04115057,68
231458998.98804283,57
232942092.93493515,78
234425186.88182747,79
235908280.82871974,65
237391374.77561206,76
238874468.72250438,69
240357562.66939664,74
241840656.61628896,77
243323750.56318128,64
244806844.51007354,72
246289938.45696586,67
247773032.40385818,63
249256126.35075045,70
250739220.29764277,66
252222314.24453503,70
253705408.19142735,52
255188502.13831967,76
256671596.08521193,69
258154690.03210425,64
259637783.97899657,59
261120877.92588884,64
262603971.87278116,64
264087065.81967348,55
265570159.76656574,50
267053253.71345806,48
268536347.6603503,60
270019441.60724264,59
271502535.55413496,61
272985629.5010272,62
274468723.44791955,59
275951817.39481187,59
277434911.34170413,52
278918005.28859645,44
280401099.2354887,60
281884193.18238103,49
283367287.12927336,47
284850381.0761656,51
286333475.02305794,49
287816568.96995026,41
289299662.9168425,40
290782756.86373484,47
292265850.81062716,48
293748944.7575194,32
295232038.70441175,38
296715132.65130407,57
298198226.5981963,30
299681320.54508865,46
301164414.4919809,49
302647508.43887323,49
304130602.38576555,47
305613696.3326578,41
307096790.27955014,33
308579884.22644246,36
310062978.1733347,36
311546072.12022704,41
313029166.06711936,33
314512260.0140116,39
315995353.96090394,26
317478447.90779626,48
318961541.8546885,48
320444635.80158085,40
321927729.74847317,37
323410823.6953654,42
324893917.64225775,38
326377011.58915,39
327860105.53604233,42
329343199.48293465,35
330826293.4298269,30
332309387.37671924,41
333792481.32361156,34
335275575.2705038,27
336758669.21739614,37
338241763.16428846,36
339724857.1111807,33
341207951.05807304,29
342691045.00496536,37
344174138.9518576,32
345657232.89874995,18
347140326.8456422,36
348623420.79253453,29
350106514.73942685,39
351589608.6863191,36
353072702.63321143,32
354555796.58010375,30
356038890.526996,41
357521984.47388834,31
359005078.42078066,31
360488172.3676729,32
361971266.31456524,32
363454360.26145756,33
364937454.2083498,33
366420548.15524215,37
367903642.1021344,32
369386736.0490267,21
370869829.99591905,23
372352923.9428113,25
373836017.88970363,23
375319111.83659595,34
376802205.7834882,36
378285299.73038054,25
379768393.67727286,30
381251487.6241651,29
382734581.57105744,22
384217675.51794976,22
385700769.464842,37
387183863.41173434,23
388666957.35862666,21
390150051.3055189,27
391633145.25241125,32
393116239.1993035,20
394599333.1461958,25
396082427.09308815,14
397565521.0399804,20
399048614.98687273,28
400531708.93376505,21
402014802.8806573,32
403497896.82754964,16
404980990.77444196,22
406464084.7213342,24
407947178.66822654,21
409430272.61511886,33
410913366.5620111,34
412396460.50890344,27
413879554.4557957,18
415362648.402688,30
416845742.34958035,22
418328836.2964726,30
419811930.24336493,23
421295024.19025725,21
422778118.1371495,21
424261212.08404183,20
425744306.03093415,17
427227399.9778264,24
428710493.92471874,26
430193587.87161106,26
431676681.8185033,20
433159775.76539564,27
434642869.7122879,24
436125963.6591802,21
437609057.60607255,20
439092151.5529648,26
440575245.4998571,20
442058339.44674945,27
443541433.3936417,9
445024527.34053403,36
446507621.28742635,23
447990715.2343186,20
449473809.18121094,19
450956903.12810326,22
452439997.0749955,19
453923091.02188784,20
455406184.96878016,24
456889278.9156724,22
458372372.86256474,23
459855466.809457,24
461338560.7563493,19
462821654.70324165,26
464304748.6501339,21
465787842.5970262,18
467270936.54391855,16
468754030.4908108,17
470237124.43770313,33
471720218.38459545,17
473203312.3314877,28
474686406.27838004,24
476169500.22527236,25
477652594.1721646,21
479135688.11905694,22
480618782.0659492,17
482101876.0128415,15
483584969.95973384,23
485068063.9066261,22
486551157.8535184,24
488034251.80041075,18
489517345.747303,19
491000439.69419533,18
492483533.64108765,25
493966627.5879799,14
495449721.53487223,20
496932815.48176455,14
498415909.4286568,12
499899003.37554914,8
501382097.3224414,10
502865191.2693337,19
504348285.21622604,18
505831379.1631183,11
507314473.1100106,21
508797567.05690295,24
510280661.0037952,18
511763754.9506875,20
513246848.89757985,16
514729942.8444721,18
516213036.79136443,19
517696130.73825675,13
519179224.685149,11
520662318.63204134,18
522145412.57893366,12
523628506.5258259,14
525111600.47271824,18
526594694.4196105,15
528077788.3665028,16
529560882.31339514,17
531043976.2602874,12
532527070.2071797,11
534010164.15407205,16
535493258.10096437,14
536976352.0478567,14
538459445.994749,11
539942539.9416413,11
541425633.8885336,17
542908727.8354259,14
544391821.7823182,20
545874915.7292105,11
547358009.6761028,7
548841103.6229951,8
550324197.5698874,12
551807291.5167797,15
553290385.463672,13
554773479.4105643,15
556256573.3574566,17
557739667.3043488,14
559222761.2512412,7
560705855.1981335,10
562188949.1450257,9
563672043.0919181,16
565155137.0388104,9
566638230.9857026,10
568121324.932595,13
569604418.8794873,11
571087512.8263795,12
572570606.7732719,10
574053700.7201642,9
575536794.6670564,7
577019888.6139488,17
578502982.5608411,10
579986076.5077333,13
581469170.4546257,18
582952264.401518,19
584435358.3484102,19
585918452.2953026,10
587401546.2421949,14
588884640.1890872,9
590367734.1359795,8
591850828.0828718,8
593333922.029764,12
594817015.9766564,11
596300109.9235487,15
597783203.870441,16
599266297.8173333,10
600749391.7642256,12
602232485.7111179,8
603715579.6580101,7
605198673.6049025,10
606681767.5517948,14
608164861.498687,13
609647955.4455794,18
611131049.3924717,21
612614143.3393639,7
614097237.2862563,8
615580331.2331486,3
617063425.1800408,9
618546519.1269332,11
620029613.0738255,12
621512707.0207177,11
622995800.9676101,14
624478894.9145024,9
625961988.8613946,9
627445082.808287,12
628928176.7551793,11
630411270.7020715,9
631894364.6489639,10
633377458.5958562,4
634860552.5427485,11
636343646.4896408,9
637826740.4365331,9
639309834.3834254,13
640792928.3303177,11
642276022.27721,13
643759116.2241023,6
645242210.1709946,8
646725304.1178869,4
648208398.0647792,12
649691492.0116714,7
651174585.9585638,12
652657679.9054561,10
654140773.8523483,5
655623867.7992407,13
657106961.746133,13
658590055.6930252,24
660073149.6399176,60
661556243.5868099,91
663039337.5337021,56
664522431.4805945,19
666005525.4274868,10
667488619.374379,10
668971713.3212714,7
670454807.2681637,13
671937901.215056,7
673420995.1619483,13
674904089.1088406,3
676387183.0557328,9
677870277.0026252,10
679353370.9495175,3
680836464.8964097,10
682319558.8433021,10
683802652.7901944,7
685285746.7370867,7
686768840.683979,11
688251934.6308713,6
689735028.5777636,8
691218122.5246558,11
692701216.4715482,10
694184310.4184405,8
695667404.3653327,8
697150498.3122251,5
698633592.2591174,13
700116686.2060096,4
701599780.152902,5
703082874.0997943,8
704565968.0466865,5
706049061.9935789,10
707532155.9404712,8
709015249.8873634,8
710498343.8342558,10
711981437.7811481,9
713464531.7280403,11
714947625.6749327,6
716430719.621825,6
717913813.5687172,8
719396907.5156096,6
720880001.4625019,8
722363095.4093941,4
723846189.3562865,7
725329283.3031788,11
726812377.250071,11
728295471.1969634,7
