Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,5136
8994906.954197869,16512
10478000.90109017,81
11961094.84798247,6
13444188.794874769,5
14927282.74176707,887
16410376.68865937,11857
17893470.63555167,15172
19376564.582443967,14327
20859658.52933627,13524
22342752.47622857,13173
23825846.423120867,12785
25308940.37001317,12355
26792034.31690547,11855
28275128.263797767,11876
29758222.21069007,11461
31241316.15758237,11356
32724410.10447467,11214
34207504.05136697,10971
35690597.99825927,10863
37173691.94515157,10562
38656785.892043866,10390
40139879.838936165,10348
41622973.78582847,10273
43106067.73272077,9985
44589161.67961307,9860
46072255.62650537,9688
47555349.573397666,9575
49038443.520289965,9465
50521537.467182264,9620
52004631.41407457,9538
53487725.36096687,9338
54970819.30785917,9034
56453913.254751466,9144
57937007.201643765,9173
59420101.148536064,9240
60903195.09542837,9148
62386289.04232067,9420
63869382.98921297,9371
65352476.936105266,9268
66835570.88299757,9387
68318664.82988986,9315
69801758.77678217,9278
71284852.72367446,9788
72767946.67056677,11373
74251040.61745906,15340
75734134.56435136,13496
77217228.51124367,15153
78700322.45813596,10557
80183416.40502827,10487
81666510.35192056,10292
83149604.29881287,12039
84632698.24570517,12523
86115792.19259746,12852
87598886.13948977,13224
89081980.08638206,12329
90565074.03327437,11799
92048167.98016666,16967
93531261.92705896,16034
95014355.87395127,14907
96497449.82084356,12071
97980543.76773587,21244
99463637.71462816,12683
100946731.66152047,10957
102429825.60841276,11220
103912919.55530506,11262
105396013.50219737,11440
106879107.44908966,11439
108362201.39598197,12093
109845295.34287426,14471
111328389.28976656,15572
112811483.23665887,12886
114294577.18355116,13665
115777671.13044347,12234
117260765.07733576,11727
118743859.02422807,11789
120226952.97112036,12048
121710046.91801266,11945
123193140.86490497,11943
124676234.81179726,12155
126159328.75868957,12246
127642422.70558186,12527
129125516.65247416,12597
130608610.59936646,12632
132091704.54625876,12593
133574798.49315105,12459
135057892.4400434,12595
136540986.38693565,12707
138024080.33382797,12922
139507174.28072023,12846
140990268.22761256,13176
142473362.17450488,13566
143956456.12139714,14235
145439550.06828946,12759
146922644.01518178,12787
148405737.96207404,12965
149888831.90896636,13037
151371925.85585868,13087
152855019.80275095,13228
154338113.74964327,13496
155821207.6965356,12895
157304301.64342785,12720
158787395.59032017,12533
160270489.5372125,12336
161753583.48410475,12412
163236677.43099707,12813
164719771.37788934,11998
166202865.32478166,12153
167685959.27167398,11777
169169053.21856624,11840
170652147.16545856,11801
172135241.11235088,11845
173618335.05924314,11578
175101429.00613546,11432
176584522.95302778,11560
178067616.89992005,11345
179550710.84681237,11408
181033804.7937047,11240
182516898.74059695,11332
183999992.68748927,12590
185483086.63438153,25019
186966180.58127385,15997
188449274.52816617,11018
189932368.47505844,10617
191415462.42195076,10662
192898556.36884308,10495
194381650.31573534,10358
195864744.26262766,10600
197347838.20951998,10255
198830932.15641224,10039
200314026.10330456,10061
201797120.0501969,9885
203280213.99708915,9574
204763307.94398147,9900
206246401.89087373,9397
207729495.83776605,9153
209212589.78465837,9024
210695683.73155063,9085
212178777.67844296,8819
213661871.62533528,8578
215144965.57222754,8735
216628059.51911986,8699
218111153.46601218,8500
219594247.41290444,8306
221077341.35979676,8342
222560435.30668908,8393
224043529.25358135,7973
225526623.20047367,8079
227009717.147366,7830
228492811.09425825,7882
229975905.04115057,7724
231458998.98804283,7800
232942092.93493515,7564
234425186.88182747,7956
235908280.82871974,8710
237391374.77561206,7556
238874468.72250438,7496
240357562.66939664,10367
241840656.61628896,22094
243323750.56318128,10279
244806844.51007354,6891
246289938.45696586,6770
247773032.40385818,6477
249256126.35075045,6565
250739220.29764277,6468
252222314.24453503,6441
253705408.19142735,6514
255188502.13831967,6629
256671596.08521193,6802
258154690.03210425,6962
259637783.97899657,6673
261120877.92588884,6056
262603971.87278116,5909
264087065.81967348,5926
265570159.76656574,5880
267053253.71345806,5870
268536347.6603503,6563
270019441.60724264,7209
271502535.55413496,6549
272985629.5010272,6068
274468723.44791955,6255
275951817.39481187,5790
277434911.34170413,5444
278918005.28859645,5449
280401099.2354887,5413
281884193.18238103,5311
283367287.12927336,5257
284850381.0761656,5462
286333475.02305794,5323
287816568.96995026,5072
289299662.9168425,4989
290782756.86373484,4998
292265850.81062716,5451
293748944.7575194,15206
295232038.70441175,35111
296715132.65130407,12230
298198226.5981963,4960
299681320.54508865,4942
301164414.4919809,4626
302647508.43887323,4555
304130602.38576555,4482
305613696.3326578,4333
307096790.27955014,4360
308579884.22644246,4171
310062978.1733347,4243
311546072.12022704,4140
313029166.06711936,4342
314512260.0140116,4246
315995353.96090394,4126
317478447.90779626,4025
318961541.8546885,4118
320444635.80158085,4013
321927729.74847317,3871
323410823.6953654,4205
324893917.64225775,4071
326377011.58915,3873
327860105.53604233,3836
329343199.48293465,4083
330826293.4298269,3926
332309387.37671924,3824
333792481.32361156,3907
335275575.2705038,3763
336758669.21739614,3791
338241763.16428846,3922
339724857.1111807,3581
341207951.05807304,3706
342691045.00496536,3629
344174138.9518576,3607
345657232.89874995,3584
347140326.8456422,3678
348623420.79253453,4642
350106514.73942685,14437
351589608.6863191,48016
353072702.63321143,28038
354555796.58010375,4517
356038890.526996,3362
357521984.47388834,3133
359005078.42078066,2955
360488172.3676729,2857
361971266.31456524,2931
363454360.26145756,2973
364937454.2083498,2838
366420548.15524215,2904
367903642.1021344,2835
369386736.0490267,2912
370869829.99591905,2895
372352923.9428113,2823
373836017.88970363,2815
375319111.83659595,2788
376802205.7834882,2799
378285299.73038054,2831
379768393.67727286,2728
381251487.6241651,2769
382734581.57105744,2807
384217675.51794976,2848
385700769.464842,2974
387183863.41173434,3305
388666957.35862666,3194
390150051.3055189,2989
391633145.25241125,2806
393116239.1993035,2807
394599333.1461958,2818
396082427.09308815,2844
397565521.0399804,2891
399048614.98687273,2829
400531708.93376505,2919
402014802.8806573,2973
403497896.82754964,2970
404980990.77444196,2970
406464084.7213342,2882
407947178.66822654,2808
409430272.61511886,2754
410913366.5620111,2848
412396460.50890344,2804
413879554.4557957,2749
415362648.402688,2698
416845742.34958035,2681
418328836.2964726,2657
419811930.24336493,2720
421295024.19025725,2812
422778118.1371495,2722
424261212.08404183,2616
425744306.03093415,2652
427227399.9778264,2578
428710493.92471874,2507
430193587.87161106,2375
431676681.8185033,2217
433159775.76539564,2200
434642869.7122879,2252
436125963.6591802,2050
437609057.60607255,2037
439092151.5529648,2032
440575245.4998571,2031
442058339.44674945,2022
443541433.3936417,2043
445024527.34053403,1974
446507621.28742635,1995
447990715.2343186,1994
449473809.18121094,1964
450956903.12810326,1926
452439997.0749955,1961
453923091.02188784,2073
455406184.96878016,2050
456889278.9156724,1936
458372372.86256474,1858
459855466.809457,1897
461338560.7563493,1872
462821654.70324165,1926
464304748.6501339,1797
465787842.5970262,1756
467270936.54391855,1635
468754030.4908108,1772
470237124.43770313,1777
471720218.38459545,1741
473203312.3314877,1722
474686406.27838004,1672
476169500.22527236,1703
477652594.1721646,1627
479135688.11905694,1647
480618782.0659492,1851
482101876.0128415,1604
483584969.95973384,1527
485068063.9066261,1645
486551157.8535184,1888
488034251.80041075,1833
489517345.747303,1594
491000439.69419533,1416
492483533.64108765,1415
493966627.5879799,1473
495449721.53487223,1331
496932815.48176455,1404
498415909.4286568,1326
499899003.37554914,1419
501382097.3224414,1391
502865191.2693337,1377
504348285.21622604,1351
505831379.1631183,1390
507314473.1100106,1468
508797567.05690295,1806
510280661.0037952,2142
511763754.9506875,2040
513246848.89757985,1552
514729942.8444721,1304
516213036.79136443,1246
517696130.73825675,1291
519179224.685149,1205
520662318.63204134,1279
522145412.57893366,1225
523628506.5258259,1263
525111600.47271824,1239
526594694.4196105,1215
528077788.3665028,1278
529560882.31339514,1198
531043976.2602874,1254
532527070.2071797,1392
534010164.15407205,1370
535493258.10096437,1285
536976352.0478567,1247
538459445.994749,1221
539942539.9416413,1136
541425633.8885336,1192
542908727.8354259,1250
544391821.7823182,1223
545874915.7292105,1185
547358009.6761028,1193
548841103.6229951,1150
550324197.5698874,1206
551807291.5167797,1167
553290385.463672,1190
554773479.4105643,1162
556256573.3574566,1152
557739667.3043488,1150
559222761.2512412,1090
560705855.1981335,1148
562188949.1450257,1095
563672043.0919181,1071
565155137.0388104,1103
566638230.9857026,1104
568121324.932595,1148
569604418.8794873,1095
571087512.8263795,1090
572570606.7732719,1130
574053700.7201642,1093
575536794.6670564,1103
577019888.6139488,1038
578502982.5608411,1170
579986076.5077333,1274
581469170.4546257,1270
582952264.401518,1047
584435358.3484102,1020
585918452.2953026,983
587401546.2421949,1004
588884640.1890872,987
590367734.1359795,1048
591850828.0828718,1006
593333922.029764,1033
594817015.9766564,1057
596300109.9235487,1000
597783203.870441,999
599266297.8173333,959
600749391.7642256,1034
602232485.7111179,1150
603715579.6580101,1508
605198673.6049025,2448
606681767.5517948,6774
608164861.498687,19551
609647955.4455794,22753
611131049.3924717,12161
612614143.3393639,1776
614097237.2862563,965
615580331.2331486,868
617063425.1800408,823
618546519.1269332,771
620029613.0738255,741
621512707.0207177,757
622995800.9676101,752
624478894.9145024,763
625961988.8613946,767
627445082.808287,787
628928176.7551793,751
630411270.7020715,697
631894364.6489639,762
633377458.5958562,753
634860552.5427485,793
636343646.4896408,666
637826740.4365331,699
639309834.3834254,772
640792928.3303177,723
642276022.27721,724
643759116.2241023,723
645242210.1709946,765
646725304.1178869,697
648208398.0647792,738
649691492.0116714,722
651174585.9585638,747
652657679.9054561,723
654140773.8523483,711
655623867.7992407,681
657106961.746133,658
658590055.6930252,745
660073149.6399176,754
661556243.5868099,764
663039337.5337021,951
664522431.4805945,1260
666005525.4274868,1253
667488619.374379,977
668971713.3212714,632
