Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,95
8994906.954197869,376
10478000.90109017,1
11961094.84798247,0
13444188.794874769,0
14927282.74176707,18
16410376.68865937,195
17893470.63555167,252
19376564.582443967,232
20859658.52933627,240
22342752.47622857,239
23825846.423120867,244
25308940.37001317,222
26792034.31690547,187
28275128.263797767,206
29758222.21069007,206
31241316.15758237,188
32724410.10447467,196
34207504.05136697,178
35690597.99825927,197
37173691.94515157,201
38656785.892043866,172
40139879.838936165,173
41622973.78582847,158
43106067.73272077,170
44589161.67961307,185
46072255.62650537,206
47555349.573397666,182
49038443.520289965,186
50521537.467182264,187
52004631.41407457,167
53487725.36096687,155
54970819.30785917,163
56453913.254751466,156
57937007.201643765,173
59420101.148536064,165
60903195.09542837,182
62386289.04232067,174
63869382.98921297,174
65352476.936105266,162
66835570.88299757,149
68318664.82988986,159
69801758.77678217,167
71284852.72367446,190
72767946.67056677,195
74251040.61745906,231
75734134.56435136,194
77217228.51124367,176
78700322.45813596,146
80183416.40502827,146
81666510.35192056,169
83149604.29881287,175
84632698.24570517,166
86115792.19259746,174
87598886.13948977,182
89081980.08638206,165
90565074.03327437,169
92048167.98016666,174
93531261.92705896,184
95014355.87395127,168
96497449.82084356,162
97980543.76773587,197
99463637.71462816,179
100946731.66152047,195
102429825.60841276,178
103912919.55530506,188
105396013.50219737,167
106879107.44908966,190
108362201.39598197,194
109845295.34287426,207
111328389.28976656,203
112811483.23665887,197
114294577.18355116,206
115777671.13044347,212
117260765.07733576,228
118743859.02422807,202
120226952.97112036,231
121710046.91801266,210
123193140.86490497,205
124676234.81179726,197
126159328.75868957,177
127642422.70558186,222
129125516.65247416,216
130608610.59936646,202
132091704.54625876,232
133574798.49315105,210
135057892.4400434,240
136540986.38693565,211
138024080.33382797,218
139507174.28072023,209
140990268.22761256,237
142473362.17450488,199
143956456.12139714,239
145439550.06828946,239
146922644.01518178,241
148405737.96207404,220
149888831.90896636,227
151371925.85585868,230
152855019.80275095,231
154338113.74964327,233
155821207.6965356,214
157304301.64342785,219
158787395.59032017,186
160270489.5372125,201
161753583.48410475,214
163236677.43099707,231
164719771.37788934,222
166202865.32478166,216
167685959.27167398,197
169169053.21856624,200
170652147.16545856,195
172135241.11235088,199
173618335.05924314,230
175101429.00613546,170
176584522.95302778,204
178067616.89992005,219
179550710.84681237,212
181033804.7937047,217
182516898.74059695,209
183999992.68748927,214
185483086.63438153,273
186966180.58127385,250
188449274.52816617,230
189932368.47505844,218
191415462.42195076,200
192898556.36884308,199
194381650.31573534,185
195864744.26262766,189
197347838.20951998,188
198830932.15641224,180
200314026.10330456,197
201797120.0501969,172
203280213.99708915,176
204763307.94398147,167
206246401.89087373,151
207729495.83776605,162
209212589.78465837,173
210695683.73155063,154
212178777.67844296,157
213661871.62533528,159
215144965.57222754,161
216628059.51911986,191
218111153.46601218,160
219594247.41290444,150
221077341.35979676,161
222560435.30668908,157
224043529.25358135,133
225526623.20047367,151
227009717.147366,141
228492811.09425825,140
229975905.04115057,143
231458998.98804283,146
232942092.93493515,178
234425186.88182747,146
235908280.82871974,175
237391374.77561206,148
238874468.72250438,143
240357562.66939664,182
241840656.61628896,287
243323750.56318128,182
244806844.51007354,149
246289938.45696586,121
247773032.40385818,135
249256126.35075045,106
250739220.29764277,108
252222314.24453503,150
253705408.19142735,122
255188502.13831967,135
256671596.08521193,131
258154690.03210425,129
259637783.97899657,140
261120877.92588884,122
262603971.87278116,109
264087065.81967348,126
265570159.76656574,119
267053253.71345806,116
268536347.6603503,128
270019441.60724264,123
271502535.55413496,121
272985629.5010272,126
274468723.44791955,123
275951817.39481187,112
277434911.34170413,110
278918005.28859645,110
280401099.2354887,108
281884193.18238103,108
283367287.12927336,135
284850381.0761656,116
286333475.02305794,127
287816568.96995026,84
289299662.9168425,98
290782756.86373484,120
292265850.81062716,112
293748944.7575194,242
295232038.70441175,589
296715132.65130407,218
298198226.5981963,98
299681320.54508865,104
301164414.4919809,99
302647508.43887323,91
304130602.38576555,90
305613696.3326578,101
307096790.27955014,99
308579884.22644246,90
310062978.1733347,107
311546072.12022704,69
313029166.06711936,97
314512260.0140116,93
315995353.96090394,95
317478447.90779626,96
318961541.8546885,101
320444635.80158085,81
321927729.74847317,82
323410823.6953654,71
324893917.64225775,92
326377011.58915,80
327860105.53604233,90
329343199.48293465,95
330826293.4298269,80
332309387.37671924,83
333792481.32361156,86
335275575.2705038,94
336758669.21739614,76
338241763.16428846,70
339724857.1111807,70
341207951.05807304,65
342691045.00496536,68
344174138.9518576,84
345657232.89874995,67
347140326.8456422,77
348623420.79253453,97
350106514.73942685,255
351589608.6863191,877
353072702.63321143,495
354555796.58010375,88
356038890.526996,71
357521984.47388834,59
359005078.42078066,72
360488172.3676729,74
361971266.31456524,65
363454360.26145756,69
364937454.2083498,60
366420548.15524215,60
367903642.1021344,47
369386736.0490267,68
370869829.99591905,68
372352923.9428113,59
373836017.88970363,68
375319111.83659595,72
376802205.7834882,61
378285299.73038054,50
379768393.67727286,58
381251487.6241651,51
382734581.57105744,55
384217675.51794976,48
385700769.464842,71
387183863.41173434,61
388666957.35862666,75
390150051.3055189,63
391633145.25241125,51
393116239.1993035,64
394599333.1461958,55
396082427.09308815,42
397565521.0399804,71
399048614.98687273,57
400531708.93376505,63
402014802.8806573,61
403497896.82754964,63
404980990.77444196,70
406464084.7213342,65
407947178.66822654,58
409430272.61511886,62
410913366.5620111,63
412396460.50890344,66
413879554.4557957,71
415362648.402688,71
416845742.34958035,57
418328836.2964726,54
419811930.24336493,65
421295024.19025725,56
422778118.1371495,67
424261212.08404183,62
425744306.03093415,55
427227399.9778264,52
428710493.92471874,61
430193587.87161106,47
431676681.8185033,54
433159775.76539564,46
434642869.7122879,37
436125963.6591802,44
437609057.60607255,37
439092151.5529648,40
440575245.4998571,49
442058339.44674945,44
443541433.3936417,55
445024527.34053403,36
446507621.28742635,33
447990715.2343186,38
449473809.18121094,45
450956903.12810326,55
452439997.0749955,43
453923091.02188784,54
455406184.96878016,48
456889278.9156724,46
458372372.86256474,31
459855466.809457,42
461338560.7563493,26
462821654.70324165,45
464304748.6501339,43
465787842.5970262,34
467270936.54391855,33
468754030.4908108,44
470237124.43770313,39
471720218.38459545,43
473203312.3314877,39
474686406.27838004,37
476169500.22527236,44
477652594.1721646,41
479135688.11905694,42
480618782.0659492,39
482101876.0128415,39
483584969.95973384,39
485068063.9066261,35
486551157.8535184,39
488034251.80041075,37
489517345.747303,31
491000439.69419533,34
492483533.64108765,34
493966627.5879799,25
495449721.53487223,32
496932815.48176455,32
498415909.4286568,35
499899003.37554914,28
501382097.3224414,35
502865191.2693337,35
504348285.21622604,24
505831379.1631183,27
507314473.1100106,39
508797567.05690295,48
510280661.0037952,46
511763754.9506875,50
513246848.89757985,34
514729942.8444721,25
516213036.79136443,28
517696130.73825675,20
519179224.685149,30
520662318.63204134,26
522145412.57893366,31
523628506.5258259,30
525111600.47271824,39
526594694.4196105,23
528077788.3665028,25
529560882.31339514,38
531043976.2602874,27
532527070.2071797,31
534010164.15407205,38
535493258.10096437,30
536976352.0478567,27
538459445.994749,18
539942539.9416413,23
541425633.8885336,27
542908727.8354259,28
544391821.7823182,26
545874915.7292105,23
547358009.6761028,27
548841103.6229951,25
550324197.5698874,31
551807291.5167797,21
553290385.463672,25
554773479.4105643,25
556256573.3574566,19
557739667.3043488,35
559222761.2512412,32
560705855.1981335,25
562188949.1450257,33
563672043.0919181,18
565155137.0388104,22
566638230.9857026,22
568121324.932595,36
569604418.8794873,31
571087512.8263795,28
572570606.7732719,25
574053700.7201642,29
575536794.6670564,23
577019888.6139488,27
578502982.5608411,22
579986076.5077333,25
581469170.4546257,32
582952264.401518,22
584435358.3484102,23
585918452.2953026,23
587401546.2421949,14
588884640.1890872,20
590367734.1359795,26
591850828.0828718,24
593333922.029764,22
594817015.9766564,31
596300109.9235487,27
597783203.870441,16
599266297.8173333,24
600749391.7642256,30
602232485.7111179,33
603715579.6580101,32
605198673.6049025,52
606681767.5517948,139
608164861.498687,426
609647955.4455794,483
611131049.3924717,258
612614143.3393639,29
614097237.2862563,28
615580331.2331486,20
617063425.1800408,23
618546519.1269332,18
620029613.0738255,23
621512707.0207177,22
622995800.9676101,20
624478894.9145024,26
625961988.8613946,23
627445082.808287,13
628928176.7551793,14
630411270.7020715,23
631894364.6489639,15
633377458.5958562,20
634860552.5427485,22
636343646.4896408,17
637826740.4365331,14
639309834.3834254,12
640792928.3303177,18
642276022.27721,13
643759116.2241023,26
645242210.1709946,15
646725304.1178869,22
648208398.0647792,10
649691492.0116714,21
651174585.9585638,20
652657679.9054561,22
654140773.8523483,21
655623867.7992407,15
657106961.746133,23
658590055.6930252,9
660073149.6399176,14
661556243.5868099,17
663039337.5337021,31
664522431.4805945,33
666005525.4274868,36
667488619.374379,28
668971713.3212714,19
670454807.2681637,15
671937901.215056,18
673420995.1619483,10
674904089.1088406,18
676387183.0557328,29
677870277.0026252,15
679353370.9495175,10
680836464.8964097,22
682319558.8433021,23
683802652.7901944,15
685285746.7370867,14
686768840.683979,17
688251934.6308713,22
689735028.5777636,14
691218122.5246558,15
692701216.4715482,14
694184310.4184405,12
695667404.3653327,16
697150498.3122251,14
698633592.2591174,18
700116686.2060096,12
701599780.152902,16
703082874.0997943,22
704565968.0466865,11
706049061.9935789,17
707532155.9404712,9
709015249.8873634,14
710498343.8342558,9
711981437.7811481,16
713464531.7280403,19
714947625.6749327,11
716430719.621825,18
717913813.5687172,13
719396907.5156096,15
720880001.4625019,18
722363095.4093941,17
723846189.3562865,17
725329283.3031788,15
726812377.250071,12
728295471.1969634,16
